City,PM2_5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
Chandigarh,12.82,31.7,0.67,10.05,5.77,31.89,0.37,8.86,34.88,2.83,0.07,0.73,Good
Amaravati,113,198,1.45,42.07,23.53,33.55,0.03,117.48,167.6,0.2,8.7,0,Poor
Delhi,210.71,843.13,23.26,37.18,50.78,37.28,1,10,12.86,3.83,13.03,0,Severe
Delhi,209.11,404.41,17.19,76.22,55.75,57.24,1.93,17.2,48.2,6.29,51.79,1.05,Severe
Hyderabad,10.5,32.75,2.83,12.8,9.11,5.74,0.26,4.14,17.09,0.03,0.31,0,Good
Hyderabad,86.5,148.06,2.5,31.72,18.68,18.54,0.61,7.45,17.68,2.33,19.23,2.02,Moderate
Hyderabad,41.42,74.8,3.36,28.34,17.74,15.64,0.52,5.12,14.92,1.03,7.99,0.5,Satisfactory
Delhi,158.67,289.17,18.54,49.71,44.74,42.83,1.27,20.82,47.3,4.1,19.02,0.38,Very Poor
Visakhapatnam,57.5,133.25,3.22,32.45,19.9,12.25,0.56,8.28,17.67,3.27,5.3,1.1,Moderate
Visakhapatnam,40,57,10.75,39.45,27.2,7.7,0.28,18.15,8.15,3.55,17.9,1.1,Satisfactory
Chandigarh,4.5,16.44,3.91,9.87,8.54,78.83,0.43,13.04,8.35,3.19,2.79,0.75,Good
Gurugram,24.33,58.75,7.07,15.15,12.42,45.29,0.53,21.9,54.32,3.48,6.98,16.3,Satisfactory
Hyderabad,13.38,34.6,2.1,13.03,8.36,6.14,0.29,4.2,32.1,0.22,2.51,0.31,Good
Kolkata,19.63,38.45,1.62,19.26,20.59,11.96,0.41,1.51,24.78,44.4,4.39,3.33,Good
Delhi,48.97,154.44,6.75,17.55,16.74,35.18,0.71,12.01,75.81,1.35,14.42,0.25,Moderate
Amritsar,182.28,297.54,103.11,56.49,159.6,8.7,1.6,21.28,19.25,5.66,10.56,15.7,Very Poor
Amaravati,12,27,2.45,7.4,5.95,10.1,0.59,18.85,25.3,0.05,0.75,0.1,Good
Visakhapatnam,24.75,63.5,17.95,33.42,32.37,14.77,0.79,12.65,3.95,5.95,16.65,6.1,Satisfactory
Delhi,331,517.72,140.56,59.19,144.12,56.92,3.02,14.62,32.9,11.65,95.39,3.14,Severe
Visakhapatnam,82,113.5,45.03,71.28,68.3,6.38,2.9,9.55,8.75,14.97,26.03,24.8,Moderate
Delhi,213.09,363.61,42.1,53.85,67.5,48.85,1.53,9.61,19.47,6.08,30.71,0.59,Severe
Delhi,152.45,235.78,17.3,35.74,41.08,141.29,8.51,5.66,22.19,2.65,3.64,3.17,Very Poor
Visakhapatnam,87,139,4.4,12.55,10.28,11.58,0.69,8.97,113.97,4,8.72,0.77,Moderate
Amaravati,17.75,27,1.97,10.4,7.17,9.53,0.62,15.53,45.22,0.12,4.35,0.28,Good
Kolkata,6.47,12.56,16.79,20.59,37.39,8.81,0.61,2.95,7.69,28.75,22.1,1.76,Good
Delhi,412.84,577.25,89.64,52.47,126.9,78.32,2.44,18.43,95.7,5.93,20.14,0.06,Severe
Delhi,286.7,297.46,11.61,37.18,26.7,31.46,18.34,12.5,18.86,1.31,2.28,2.51,Very Poor
Hyderabad,63.55,108.44,1.66,14.33,10.03,21.6,0.47,11.05,48.11,0.57,2.04,0.46,Moderate
Delhi,266.4,389.5,12.92,81.53,87.11,40.64,1.42,29.78,114.8,8.24,30.43,1.87,Severe
Delhi,132.03,209.79,12.82,36.63,43.06,26.34,0.94,14.74,66.23,2.25,5.62,0.1,Very Poor
Gurugram,53,115.31,5.26,31.83,27.41,37.23,1.11,18.52,12.48,3.43,4.07,14.65,Moderate
Delhi,277.33,557.98,177.55,136.27,199.65,67.11,4.63,28.45,101.06,11.99,42.96,1.47,Severe
Delhi,180.38,313.69,19.03,50.52,64.71,45.69,1.2,16.45,66.9,2.22,6.86,0.08,Very Poor
Hyderabad,15.75,32.5,4.37,20.68,14.13,19.18,0.21,7.32,9.77,0.35,2.66,0.08,Good
Delhi,328.76,443.09,57.3,67.16,88.51,77.25,2.04,12.58,30.75,7.54,46.55,2.32,Severe
Kolkata,6.95,11.76,5.6,14.62,17.93,8.78,0.49,1.98,20.92,12.01,8.7,2.15,Good
Delhi,304.14,415.9,70.28,50.63,92.06,47.74,2.19,11.73,28.82,6.71,41.27,6.83,Severe
Delhi,94.17,203.83,22.1,29.18,41.9,42.3,6.43,12,25.8,3.28,18.19,3.97,Very Poor
Kolkata,18.88,37.1,3.53,8.86,12.45,8.22,0.4,4.75,26.67,2.26,11.52,0.96,Good
Kolkata,64.21,147.3,138.23,83.79,221.95,28.82,2.28,10.7,6.5,33.3,44.67,7.28,Moderate
Delhi,143.3,321.97,12.25,33.96,31.05,60.21,1.38,20.43,64.16,5.82,18.43,0.54,Very Poor
Delhi,160.98,291.53,19.04,55,3.48,51.78,1.48,16.8,43.98,3.25,6.28,0,Very Poor
Delhi,224.09,456.36,35.53,115.96,138.04,40.28,8.1,37.07,94.81,5.8,18.13,5.11,Severe
Kolkata,17.29,40.38,4.6,11.43,16.08,8.28,0.4,5.67,14.96,2.61,10.87,0.98,Good
Delhi,163.45,219.63,101.12,100.9,11.12,69.78,3.19,29.86,74.95,19.24,36.16,0.4,Very Poor
Delhi,44.1,131.19,30.71,65.55,77.74,30.31,1.44,13.32,28.05,0.98,4.02,0,Poor
Delhi,262.72,360.16,32.38,41.44,52.73,44.31,1.55,10.11,21.45,5.11,27.92,2.44,Severe
Delhi,45.69,100.19,4.62,19.36,16.04,29.95,0.87,11.52,35.15,1.53,10.66,0.59,Moderate
Amaravati,20.5,41.25,13.8,22.02,22.95,14.15,0.57,11.5,15.93,0.45,1.65,0.23,Good
Visakhapatnam,99.25,221.75,7.58,70.8,43.83,12.4,1.43,8.15,25.67,8.18,19.45,10,Poor
Delhi,18.04,41.14,10.01,16.94,14.16,19.83,0.48,9.86,54.71,0.75,6.1,2.02,Satisfactory
Chandigarh,27.56,61.55,5.82,8.37,8.93,48.14,0.5,6.74,3.15,3.95,2.06,1.06,Satisfactory
Delhi,406.1,618.35,217.18,121.14,265.52,65.56,4.71,23.85,36.72,17.29,121.99,4.12,Severe
Hyderabad,22,68,20.12,102.25,32.38,35.97,0.44,0.55,15.68,0.09,0.68,0.98,Satisfactory
Delhi,295.58,415.28,93.8,58.06,116.83,54.82,1.81,13.18,21.21,7.42,37.64,1.14,Severe
Delhi,237.13,364.28,45.06,75.71,80.72,62.74,1.85,22.12,26.14,7.84,32.72,0.72,Severe
Delhi,263.97,412.54,37.37,98.22,129.12,79.69,2.43,27.64,120.09,4.53,14.03,0,Severe
Amritsar,122.06,299.6,17.94,59.58,77.52,60.28,1.11,9.69,8.36,2.85,12.95,25.73,Very Poor
Delhi,82.86,192.93,9.39,32.76,26.49,36.95,0.98,15.85,118.78,3.12,19.43,0.1,Poor
Amaravati,37,100,1.6,17.32,10.5,8.27,0.34,10.25,33.23,0,0.73,0.1,Moderate
Kolkata,14.45,26.83,4.7,15.71,20.12,9.11,0.38,3.07,14.45,18.73,13.95,1.38,Good
Visakhapatnam,40.25,123.5,17.7,71.32,52.33,3.35,0.85,6.67,7.6,8.82,19,9.35,Moderate
Amaravati,14,27.5,16.18,38.7,35.92,8.25,0.57,21.3,39.5,0.23,2.27,0.1,Good
Hyderabad,27,61,3.2,4.82,6.68,10.2,0.26,3.42,28.21,0.49,2.59,0.24,Satisfactory
Chandigarh,12.12,41.59,6.37,15,12.9,24.61,0.83,9.88,5.92,4.46,0.74,1.61,Good
Visakhapatnam,10.75,26,8,25.85,20.22,9.45,0.11,7.7,33.55,1.2,1.9,0.2,Good
Hyderabad,81.5,143.05,7.17,33.66,22.57,17.8,0.5,16.43,28.36,0.3,6.71,0,Moderate
Gurugram,61.64,161.28,18.66,26.13,32.58,31.3,0.89,15.63,13.26,4.08,6.11,12.7,Moderate
Amaravati,6,7,1.27,3.52,2.92,5.55,0.39,12.05,39,0,0.43,0.1,Good
Visakhapatnam,135.75,245.25,3.7,71.47,41,13.9,0.73,72.7,142.4,5.25,8.75,3.33,Very Poor
Kolkata,13.91,16.26,2.97,10.79,14,9.27,0.43,2.89,33.2,44.07,7.7,1.96,Good
Delhi,33.25,102.83,10.61,18.68,20.43,44.09,0.51,8.68,22.63,0.74,22.22,0.04,Moderate
Chandigarh,12.67,40.66,6.19,17.91,14.44,64.17,0.4,7.92,26.67,3.5,2.11,0.39,Good
Delhi,209.72,319.8,11.38,49.7,38.43,49.66,1.35,15.03,42.16,3.82,20.92,0.31,Very Poor
Kolkata,35.59,94.21,9.8,43.44,53.31,27.49,0.64,8.31,22.96,19.73,23.92,3.49,Moderate
Chandigarh,15.42,33.27,2.35,10.55,7.43,31.48,0.64,10.38,9.5,3.88,0.66,1.47,Good
Hyderabad,55.88,166.38,3.63,35.97,8.84,23.93,0.16,11.22,76.4,0.11,1.82,0.29,Moderate
Delhi,315.85,575.31,245.83,114.44,289.41,98.93,3.71,23.75,145.8,12.74,48.41,0,Severe
Chandigarh,15.79,47.45,1.02,12.07,7.24,62.54,0.29,5.64,27.25,2.9,2.43,0.63,Good
Amritsar,27.47,33.94,8.26,10.02,18.19,13.12,0.6,14.12,16.77,1.4,1.2,2,Good
Hyderabad,26.25,52.25,1.98,20.69,13.46,24.57,0.17,5.02,55.37,1.14,5.4,0.18,Satisfactory
Delhi,625.36,290.52,87.42,42.4,62.82,48.56,0.75,36.82,20.84,4.58,8.42,0.07,Severe
Hyderabad,29,86.19,1.3,14.45,8.76,12.14,0.35,6.35,87.5,0.51,1.94,0.15,Satisfactory
Hyderabad,57.25,100.5,7.57,47.1,10.4,22.3,0.01,5.75,31.67,0.05,0.6,0.15,Moderate
Kolkata,32.93,63.11,4.11,11.23,15.1,10.55,0.4,5.5,70.36,16.79,16.84,1.21,Satisfactory
Delhi,238.26,358.11,112.88,55.71,132.32,55.59,2.41,12.64,21.78,7.25,61.76,4.99,Severe
Hyderabad,46.96,36.25,2.28,17.78,12.11,22.15,0.3,5.48,40.34,0.51,2.6,0.08,Satisfactory
Kolkata,6.64,13.48,4.16,6.32,10.68,12.51,0.27,2.03,18.89,10.17,6.5,2,Good
Chandigarh,18.03,25.62,2.33,5.66,4.86,46.88,0.29,10.64,18.46,2.81,0.16,1,Good
Delhi,357.12,606.48,141.02,103.73,175.18,68.03,3.91,18.64,33.53,11.93,88.42,2.43,Severe
Delhi,96.13,213.69,29.34,61.27,63.95,29.57,1.18,24.97,31.1,3.93,42.38,1.8,Poor
Hyderabad,7.92,21.12,4.2,18.14,12.56,11.6,0.25,5.92,20.1,0.34,1.2,0.13,Good
Delhi,365.58,633.64,19.16,57.56,71.75,57.57,2.11,22.04,149.69,4.1,7.13,0,Severe
Kolkata,12.65,45.22,15.58,11.55,27.46,18.9,0.38,2.71,34.46,12,10.64,1.17,Good
Hyderabad,86.9,164.81,4.5,53.44,31.93,9.75,0.85,3.69,30.38,6.34,22.76,5.05,Moderate
Chandigarh,15.26,25.95,3.58,9.38,7.79,26.38,0.29,7.53,4.24,4.64,0.33,1.05,Good
Kolkata,10.02,28.03,5.48,11.01,16.55,8.32,0.4,5.26,24.42,1.6,9.84,0.25,Good
Kolkata,9.92,30.56,3.13,4.74,7.92,8.72,0.29,6.04,15.23,0.36,7.9,0.37,Good
Visakhapatnam,46,58,52.65,48.03,68.32,4.62,1.7,12.07,13.28,1.78,14.5,6.15,Satisfactory
Hyderabad,12.6,17.81,2.99,14.84,10.32,8.4,0.4,13.14,15.65,0.27,1.05,0.15,Good
Delhi,287.95,491.76,52.24,89.64,137.51,64.41,1.92,19.32,121.37,6.93,18.19,2.26,Severe
Delhi,425.51,574.44,7.44,47.23,34.06,47.6,1.63,16.98,93.02,6.37,39.8,0.67,Severe
Delhi,430.45,645.97,70.92,57.93,95.49,52.88,2.88,14.03,28.01,8.95,47.67,1.38,Severe
Delhi,185.16,318.46,19.83,50.5,53.32,141.93,7.13,3.72,15.89,6.2,13.03,3.72,Very Poor
Hyderabad,19.5,40.9,3.04,19.12,12.57,13.9,0.33,6.3,21.72,0.21,2.59,0.28,Good
Delhi,166.79,755.13,13.4,28.01,29.4,30.28,0.57,5.91,45.72,1.35,1.88,0,Severe
Visakhapatnam,43.75,32.25,2.9,17.45,10.67,14.23,0.8,25.03,98.85,4.65,8.78,2.35,Satisfactory
Hyderabad,56.75,94,5.58,8.27,8.78,2.5,0.82,9.07,34.42,1.56,8.3,1.1,Moderate
Hyderabad,66,94,14.65,99.4,29.68,40.97,1.08,48.38,11.5,0.1,2.08,0.29,Moderate
Delhi,264.35,395.73,29.82,65.59,63.87,59.79,1.47,12.35,23.81,5.82,32.33,0.57,Severe
Kolkata,11.08,27.6,3.93,6.9,10.88,11.82,0.36,5.33,36.24,1.19,5.76,0.24,Good
Hyderabad,56,94,11.62,78.57,15.65,46.88,0.47,29.15,27.2,0.07,2.28,1.23,Moderate
Delhi,202.5,339.5,13.8,82.05,53.58,67.74,1.68,9.91,47.59,4.7,40.36,1.04,Severe
Visakhapatnam,15.25,28.75,23.55,36.62,38.65,3.62,0.46,13.65,2.95,5.7,23.73,4.67,Good
Hyderabad,25.06,49.08,4.46,13.3,10.28,11.15,0.38,10.13,38.95,0.7,1.78,0.01,Satisfactory
Kolkata,48.68,95.41,7.74,31.71,39.38,26.68,0.77,11.2,83.17,7.1,9.09,1.25,Moderate
Amaravati,44,65,1.3,15.05,9.07,16.1,0.51,18.82,31.05,0.45,1.07,0.1,Satisfactory
Amritsar,204.74,333.26,17.98,43.51,61.48,63.66,1.46,1.12,6.35,2.5,11.97,24.96,Very Poor
Delhi,214.01,317.6,15.66,54.76,45.56,47.17,1.57,16.59,55.27,5.52,30.91,0.42,Severe
Visakhapatnam,82.5,113.5,4.92,23.67,15.2,16.9,1.07,0.8,66.7,4.6,9,3.77,Moderate
Delhi,431.74,566.76,14.37,51.69,57.74,48.3,1.43,13.02,145.79,3.73,10.89,0.06,Severe
Amritsar,37.84,108.13,38.01,25.47,64.48,16.29,0,5.4,11.98,13.66,2.23,12.37,Moderate
Delhi,486.4,609.23,73.17,60.64,87.41,79.97,2.42,7.53,121.65,7.41,21.68,0.06,Severe
Amaravati,26.25,40.25,6.47,9.98,10.55,5.38,0.51,5.95,20.57,0.95,2.85,0.25,Good
Delhi,63.41,248,19.61,22.22,30.11,32.37,0.65,9.75,27.32,0.97,13.39,0.16,Poor
Delhi,198.3,245.34,41.64,47.12,95.1,28.36,2.26,37.25,112.29,7.19,44.34,2.03,Very Poor
Hyderabad,9.33,24.3,8.37,23.19,18.26,29.55,0.34,7.83,14.69,1.08,5.21,0.27,Good
Delhi,301.71,500.31,10.29,74.27,71.49,56.52,1.72,16.05,118.04,6.03,13.63,1.24,Severe
Delhi,92.12,197.9,23.27,58.02,52.57,42.08,1.21,21.3,57.34,3.05,38.61,1.62,Very Poor
Visakhapatnam,94.5,192.5,3.58,15.87,11.33,15.75,0.65,13.12,140.47,3.42,4.95,1.2,Poor
